id;product_name
1;"100% Juice"
2;"7 UP"
3;"7 Up 2L"
4;"7 Up 500Ml"
5;"7 Up Can 250Ml"
6;"7 Up Mega 1.5L"
7;7UP
8;ABBOTT
9;ACTION
10;ADVANCED
11;AKSHATA
12;"ALOE KOMA"
13;AMBEWELA
14;"AMBEWELA MILK CHOCOLATE 1L"
15;"AMBEWELA MILK PLAIN 200ML"
16;"AMBEWELA MILK VANILLA 1L"
17;ANCHOR
18;ANLENE
19;AQUAFINA
20;AROCAFE
21;"Abbott Ensure Milk Powder Vanila 400g"
22;"Abbott Glucerna Milk Powder 400g"
23;"Action Milk Powder Chocolate 400G"
24;"Action Milk Powder Vanilla 400G"
25;"Advanced Milk Powder Weight Gainer 500g"
26;"Ahmad English Breakfast Tea Bags 100S 200G"
27;"Ahmad English Tea No 1 Bauble 30G"
28;"Ahmad Premum Blend Tea Leaf 200G"
29;"Ahmad Premum Blend Tea Leaf 400G"
30;"Ahmad Tea"
31;"Ahmad Tea Christmas Star Caddy 60G"
32;"Ahmad Tea Enchanted Selction 30S 60G"
33;"Ahmad Tea Engl. Breakfast Bauble 30G"
34;"Ahmad Tea Magical Xmas Tree Cady 60G"
35;"Ahmad Tea Timeless Tea Collc 32S 64G"
36;"Ahmad Tea Twilight Selection 32S 64G"
37;"Ahmad Tea Winter Spice 75G"
38;"Ahmad Tea Xmas Bauble 30G"
39;"Akshata Ashwagandha Tea Bags 10S 250G"
40;"Akshata Cinnamon Tea With Jaggery 65G"
41;"Akshata Garseenia Tea Bags 10S 250G"
42;"Akshata Green Tea With Bee Honey 65G"
43;"Akshata Ranawara Tea Bags 10S 250G"
44;Alkaline
45;"Aloe Koma Aloe Vera Drink 200Ml"
46;"Aloe Koma Aloe Vera Drink 500Ml"
47;"Ambewela Milk Non Fat 1l"
48;"Ambewela Milk Plain 1l"
49;"Anchor Milk Powder Shape Up Smp 1Kg"
50;"Anchor Milk Powder Shape Up Smp 400G"
51;"Anchor Milk Uht Tetra 1l"
52;"Anchor Newdale Milk Chocolate Uht Tetra 180ml"
53;"Anchor Newdale Milk Strawberry Uht Tetra 180ml"
54;"Anchor Newdale Milk Vanilla Uht Tetra 180ml"
55;"Anlene Milk Powder Bib 400G"
56;"Aquafina Bottled Drinking Water 1.5L"
57;"Aquafina Bottled Drinking Water 500Ml"
58;"Arocafe Coffee Glass Jar 50G"
59;Artisanal
60;"Artisanal Hot Chocolate Drink Mix 200g"
61;BARBICAN
62;BATTLER
63;BEAM
64;BELLYBEES
65;"BICKFORDS & SONS"
66;BITBURGER
67;BOGAWANTALAWA
68;BOH
69;"BON AROMA"
70;BONCAFE
71;BONLAC
72;"Barbican Non Alcoholic Beer Pomegranate 300Ml"
73;"Barbican Non Alcoholic Beer Rasberry 300Ml"
74;"Barbican Non Alcoholic Lemon Beer 300Ml"
75;"Battler Tea Bag Gold Elephant 200g"
76;"Battler Tea Bag Green Elephant 200g"
77;"Battler Tea Tin Caddy Black Elephant 100g"
78;"Battler Tea Tin Caddy Ceylon Black 100g"
79;"Battler Tea Tin Caddy Elephant Peko 100g"
80;"Battler Tea Tin Caddy Golden Giant Orange & Cinnamon 100g"
81;"Battler Tea Tin Caddy Golden Giant Wild Rosehip,hibiscus & Raspberry 100g"
82;"Battler Tea Tin Caddy Green Elephant 100g"
83;"Battler Tea Tin Caddy Silver Elephant 100g"
84;"Beam Tea Bag Belimal 40G"
85;"Beam Tea Bag Iramusu 40g"
86;"Beam Tea Bag Karapincha 40G"
87;"Beam Tea Bag Ranawara 40G"
88;Beans
89;"Bellybees Vegetable & Fruit Juice Dark Red 200ml"
90;"Bellybees Vegetable & Fruit Juice Gray 200ml"
91;"Bellybees Vegetable & Fruit Juice Green 200ml"
92;"Bellybees Vegetable & Fruit Juice Orange 200ml"
93;"Bellybees Vegetable & Fruit Juice Purple 200ml"
94;"Bellybees Vegetable & Fruit Juice White 200ml"
95;"Bellybees Vegetable & Fruit Juice Yellow 200ml"
96;Beverages
97;"Bickfords & Sons Bitter Lemon 275Ml"
98;"Bickfords & Sons Ginger Ale 275Ml"
99;"Bickfords & Sons Lemon/lime 275 Ml"
100;"Bickfords & Sons Tonic Water 275Ml"
101;"Bitburger Non Alchoholic Beer Bottle 330ml"
102;"Bogawantalawa Classic 200G Pouch"
103;"Bogawantalawa Classic 400G Pouch"
104;"Bogawantalawa Green Tea 110G"
105;"Bogawantalawa Green Tea 25S 42.5G"
106;"Bogawantalawa Kahata 400G Pouch"
107;"Bogawantalawa Legend 400G Pouch"
108;"Bogawantalawa Tea Bag 25S 50G"
109;"Bogawantalawa Tea Bag 50S 100G"
110;"Boh Lemon Lime Ice Tea 20'S 290G"
111;"Boh Orchard Splash Ice Tea 20'S 290G"
112;"Boh Peach Ice Tea 20'S 290G"
113;"Bon Aroma Classic Inst. Coffee 50g"
114;"Boncafe Coffee Brazilian Gold Instant 100g"
115;"Boncafe Coffee Brazilian Gold Instant 50g"
116;"Boncafe Coffee Mocca Instant 100G"
117;"Boncafe Coffee Mocca Instant 50G"
118;"Bonlac Milk Powder Non Fat 400G"
119;CADBURY
120;"CAFFÈ SERRANO"
121;CAPLA
122;CEYLONTA
123;"CINNAMON LAVISH"
124;"CINNAMON ONE"
125;"COCA COLA"
126;COFFEE
127;COLMANS
128;"Cadbury Hot Chocolate Drink 3 In 1 15S 450G"
129;"Caffe Serrano Macinato Moka 250G"
130;"Capla Tea Cinnamon 40G"
131;"Capla Tea Cinnamon Green 40G"
132;"Capla Tea Karapincha 30G"
133;"Capla Tea Organic Moringa Leaf 20G"
134;"Capla Tea Organic Moringa Leaf 40G"
135;"Chocolate & Malt Drinks"
136;"Chocolate Drinks"
137;"Cinnamon Lavish Premium Cinnamon Drink 20S 36G "
138;"Cinnamon One Cinnamon Drink 20S 40G"
139;"Cinnamon One Organic Cinnamon Drink 20S 40G"
140;"Coca Cola Orignal 320Ml"
141;"Coca Cola Pet 1050Ml"
142;"Coca-Cola Pet 2L"
143;"Coca-Cola Pet 400Ml"
144;"Coca-Cola Zero Pet 2L"
145;"Coca-Cola Zero Pet 400Ml"
146;Coffee
147;"Colmans Orange Flavoured Drink Powder 140G"
148;"Colmans Orange Flavoured Drink Powder 500G"
149;"Concentrated Fruit Drink"
150;Cordial
151;Creamer
152;DAILY
153;"DAILY MILK BANANA 200ML"
154;"DAILY MILK CHOCOLATE 200ML"
155;"DAILY MILK FALUDA 200ML"
156;"DAILY MILK ICED COFFEE 200ML"
157;"DAILY MILK STRAWBERRY 200ML"
158;"DAILY MILK VANILLA 200ML"
159;DAVID
160;DIASURE
161;DILMAH
162;DONELLI
163;"Daily Milk Faluda 1l"
164;"David Off Rich Aroma Instant Coffee  100G"
165;Diabetasol
166;"Diabetasol Nutrition Vanilla Flavour Bib 180G"
167;"Diabetasol Nutrition Vanilla Flavour Tin 360G"
168;"Diasure Milk Powder Diabetic 200G"
169;"Dilmah Tea Bags 100S 200G"
170;"Dilmah Tea Bags 50S 100G"
171;"Dilmah Tea Bags Ginger 20S 30G"
172;"Dilmah Tea Ceylon Earl Grey 50s 100g"
173;"Dilmah Tea Ceylon Supreme 50s 100g"
174;"Dilmah Tea Earl Grey 125G"
175;"Dilmah Tea English Afternoon 125G"
176;"Dilmah Tea English Afternoon Bag 50s 100g"
177;"Dilmah Tea English Breakfast 125G"
178;"Dilmah Tea English Breakfast Bag 50s 100g"
179;"Dilmah Tea Flavored Bag Strawberry 20s 30g"
180;"Dilmah Tea Flavored Bags Lemon 20s 30g"
181;"Dilmah Tea Flavored Black Bags Mint 20s 30g"
182;"Dilmah Tea Fun Teas 80S 160G"
183;"Dilmah Tea Green Bag Mor.mint 20s 40g"
184;"Dilmah Tea Green Bag+Ginger 20S 40G"
185;"Dilmah Tea Green Pure Ceylon 20s 30g"
186;"Dilmah Tea Infusion Camomile 20S 30G"
187;"Dilmah Tea Leaf Premium 100G"
188;"Dilmah Tea Leaf Premium 200G"
189;"Dilmah Tea Leaf Premium 400G"
190;"Dilmah Tea Lovers Leap Esta.20S 40G"
191;"Dilmah Tea Nilagama Estate 20S 40G"
192;"Dilmah Tea Premium 25 Bags 50G"
193;"Dilmah Tea Pure Ceylon Green 75G"
194;"Dilmah Tea Strong 100G"
195;"Dilmah Tea Strong 200G"
196;"Donelli Gold Apple Non Alcho 750Ml"
197;"ELEPHANT HOUSE"
198;"ENFAMAMA A+"
199;EVERVESS
200;"Eh Fito Astd Fl.Fruit Drink 6S 200Ml"
201;"Elephant House Carbonated Soft Drink Cream Soda 1.5l"
202;"Elephant House Carbonated Soft Drink Cream Soda 1l"
203;"Elephant House Carbonated Soft Drink Cream Soda 500ml"
204;"Elephant House Carbonated Soft Drink Dry Ginger Ale 500ml"
205;"Elephant House Carbonated Soft Drink Egb 1.5l"
206;"Elephant House Carbonated Soft Drink Egb 1l"
207;"Elephant House Carbonated Soft Drink Egb 500ml"
208;"Elephant House Carbonated Soft Drink Lemonade 1.5l"
209;"Elephant House Carbonated Soft Drink Lemonade 500ml"
210;"Elephant House Carbonated Soft Drink Lime Crush 1.5l"
211;"Elephant House Carbonated Soft Drink Necto 1.5l"
212;"Elephant House Carbonated Soft Drink Necto 1l"
213;"Elephant House Carbonated Soft Drink Necto 2L"
214;"Elephant House Carbonated Soft Drink Necto 500ml"
215;"Elephant House Carbonated Soft Drink Orange Barley 1.5l"
216;"Elephant House Carbonated Soft Drink Orange Crush 1.5l"
217;"Elephant House Carbonated Soft Drink Orange Crush 1l"
218;"Elephant House Carbonated Soft Drink Orange Crush 2L"
219;"Elephant House Carbonated Soft Drink Orange Crush 500ml"
220;"Elephant House Carbonated Soft Drink Soda 1.5l"
221;"Elephant House Carbonated Soft Drink Soda 1l"
222;"Elephant House Carbonated Soft Drink Soda 500ml"
223;"Elephant House Carbonated Soft Drink Tonic 500ml"
224;"Elephant House Chocolate Flavoured Milk Uht 190ML"
225;"Elephant House Cream Soda Apple Pop 1L"
226;"Elephant House Fito Mango Nectar 1L"
227;"Elephant House Fito Mango Nectar 200ML"
228;"Elephant House Fito Mixed Fruit Nectar 1L"
229;"Elephant House Fito Mixed Fruit Nectar 200ML"
230;"Elephant House Fito Orange Nectar 1L"
231;"Elephant House Fito Orange Nectar 200ML"
232;"Elephant House Full Cream Milk Uht 1l"
233;"Elephant House Twistee Apple Fruit Juice With Green Tea 200ML"
234;"Elephant House Twistee Apple Juice With Green Tea 1L"
235;"Elephant House Vanilla Flavoured Milk Uht 190ML"
236;"Elephant House Water Bottle 1.5l"
237;"Elephant House Water Bottle 500ml"
238;Energy
239;"Enfamama A+ Chocolate Flavoured 400G"
240;"Enfamama A+ Vanilla Flavoured 400G"
241;"Evervess Club Soda 1l"
242;"Evervess Soda 500Ml"
243;"F & S"
244;"F & S Carte De La Ceylan Premium Tea Bags 100S 200G"
245;"F & S The Golden Elephant Premium Tea Bags 100S 200G"
246;FADNA
247;FANTA
248;FARMLANK
249;FEVER-TREE
250;"FLYING ELEPHANT"
251;FONTANA
252;"Fadna Classic Diabe Tea 20s 40g"
253;"Fadna Ezy Tea 4s 8g"
254;"Fadna Immunni Tea 20S 40G"
255;"Fadna Shape Up Tea 20s 40g"
256;"Fadna Soursop With Green Tea 20s 40g"
257;"Fadna Tummy Herbal Tea 20s 40g"
258;"Fanta Cream Soda Pet 1.5L"
259;"Fanta Cream Soda Pet 1050Ml"
260;"Fanta Cream Soda Pet 400Ml"
261;"Fanta Orange Pet 1.5L"
262;"Fanta Orange Pet 1050Ml"
263;"Fanta Orange Pet 400Ml"
264;"Fanta Portello Pet 1.5L"
265;"Fanta Portello Pet 1050Ml"
266;"Fanta Portello Pet 400Ml"
267;"Farmlank Goat Milk Almond 500Ml"
268;"Farmlank Goat Milk Faluda 500Ml"
269;"Farmlank Goat Milk Plain 190Ml"
270;"Farmlank Goat Milk Plain 500Ml"
271;"Farmlank Goat Milk Vanila 500Ml"
272;"Fever Tree Premium Ginger Ale 200Ml"
273;"Fever Tree Premium Ginger Beer 200Ml"
274;"Fever Tree Premium Ind Tonic 200Ml"
275;"Fever Tree Refreshingley Light 200Ml"
276;Filter
277;Flavored
278;"Flavored Tea"
279;"Flying Elephant Dark Cho.Powder 200G"
280;"Flying Elephant Milk Cho.Powder 200G"
281;"Fontana Apple Juice 100% Natural 1l"
282;"Fontana Cranberry Juice Drink 1l"
283;"Fontana Grape Juice 100% Natural 1l"
284;"Fontana Orange Juice 100% Natural 1l"
285;"Fontana Orange Juice 250ml"
286;"Fontana Pomegranate Juice 1l"
287;"Fruit Drinks"
288;"GINJI JUICE"
289;GLOMARK
290;"Gift Purpose"
291;"Ginji Juice Ginger Drink 200Ml"
292;"Ginji Juice Ginger Drink 500Ml"
293;HARISCHANDRA
294;"HELA COCO"
295;HELADIV
296;HIGHLAND
297;HORLICKS
298;"Harischandra Coffee 100G"
299;"Harischandra Coffee 200G"
300;"Health Base"
301;"Health Base Tea"
302;"Hela Coco Fizzy Orange Drink 330Ml"
303;"Hela Coco Green Orange Drink 330Ml"
304;"Hela Coco Kico Soda 330Ml"
305;"Helacoco Coriander Extra Drink 330Ml"
306;"Heladiv Concentrate Lemon Pet 750Ml"
307;"Heladiv Concentrate Peach Pet 750Ml"
308;"Heladiv Concentrate Straw. Pet 750Ml"
309;"Heladiv Iced Tea Lemon Tp 200Ml"
310;"Heladiv Iced Tea Peach Tp 200Ml"
311;"Heladiv Iced Tea Strawberry Tp 200Ml"
312;"Heladiv Tea Green Pekoe 100G"
313;"Highland Milk Chocolate U H T 180Ml"
314;"Highland Milk Full Cream U H T 450Ml"
315;"Highland Milk Full Cream U H T 900Ml"
316;"Highland Milk Vanilla U H T 180Ml"
317;"Horlicks Malted Food Drink Original Carton 400G"
318;Hortex
319;"Hortex 100% Peach & Apple Juice 1L"
320;"Hortex 100% Pear & Apple Juice 1L"
321;"Hortex 100% Prsd Apl & Mng Juice 1l"
322;"Hortex Apple Nectar 1l"
323;"Hortex Vitaminka Apple Carrot Raspberry Juice 1L"
324;"Hortex Vitaminka Man. C. Ap.Juice 1l"
325;"Hortex Vitaminka Peach Apple Carrot Juice 1L"
326;"Hortex Vitaminka Pome.C. Ap.Juice 1l"
327;"Hortex Vitaminka Stw.C & Ap Juice 1l"
328;"Iced Coffee"
329;"Iced Tea"
330;Instant
331;JALAYA
332;"Jalaya Natural Mineral Water 500ml"
333;Juices
334;"KHAO SHONG"
335;KIMBO
336;KINLEY
337;KIST
338;"KIST RIDE CLASSIC FORMULATED CAFFEINATED BEVERAGE 250ML"
339;KOTMALE
340;"Khao Shong 3 In 1 Cappuc. Coffee 80G"
341;"Khao Shong 3 In 1 Caramel Macchiato 88G"
342;"Khao Shong 3 In 1 Espres. Coffee 90G"
343;"Khao Shong 3 In 1 Mocha Coffee 220G"
